# FILLET Exp2 with HEXTOR - using cloudir = -6.3 to stay consistent with Ben2 and Ben3
# Compile all cases into a list

# Name of benchmark/experiment: Experiment 2
# Describe how ice line latitude is determined: ice line occurs if zonal average temperature is less than or equal to 263

# Columns of data
# Case = case number (0 -> total number of cases in experiment)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = diffusion coefficient
# OLR = global, annual mean outgoing longwave radiation

# Examples for IceLine max and min:
# Polar caps: IceLineNMax = 90, IceLineNMin = 60, IceLineSMax = -60, IceLineSMin = -90
# Snowball state: IceLineNMax = 90, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -90
# Ice free state: IceLineNMax = 90, IceLineNMin = 90, IceLineSMax = -90, IceLineSMin = -90
# Ice belt: IceLineNMax = 30, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -30
# Note ice belt doesn't really have "edges" at 0 deg, but record as 0 anyway to
# keep the columns the same length

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLRglob
0 1.05  0.0    280.0 232.66 90.0  0.0    0.0 -90.00 0.50 144.89
1 1.05 10.0    280.0 232.71 90.0  0.0    0.0 -90.00 0.50 145.17
2 1.05 20.0    280.0 232.87 90.0  0.0    0.0 -90.00 0.50 145.97
3 1.05 30.0    280.0 235.58 90.0  0.0    0.0 -90.00 0.50 152.03
4 1.05 40.0    280.0 240.49 90.0  0.0    0.0 -90.00 0.50 161.92
5 1.05 50.0    280.0 244.82 90.0  0.0    0.0 -90.00 0.50 170.31
6 1.05 60.0    280.0 248.40 90.0  0.0    0.0 -90.00 0.50 177.30
7 1.05 70.0    280.0 251.52 56.1  0.0    0.0 -55.29 0.50 183.61
8 1.05 80.0    280.0 254.73 46.3  0.0    0.0 -46.24 0.50 190.30
9 1.05 90.0    280.0 258.59 40.2  0.0    0.0 -40.23 0.50 198.50
10 1.07  0.0    280.0 234.96 90.0  0.0    0.0 -90.00 0.50 149.38
11 1.07 10.0    280.0 235.04 90.0  0.0    0.0 -90.00 0.50 149.70
12 1.07 20.0    280.0 235.26 90.0  0.0    0.0 -90.00 0.50 150.64
13 1.07 30.0    280.0 238.90 90.0  0.0    0.0 -90.00 0.50 158.52
14 1.07 40.0    280.0 244.32 90.0  0.0    0.0 -90.00 0.50 169.38
15 1.07 50.0    280.0 248.72 90.0  0.0    0.0 -90.00 0.50 177.97
16 1.07 60.0    280.0 252.56 63.0  0.0    0.0 -62.17 0.50 185.63
17 1.07 70.0    280.0 293.25 90.0 90.0  -90.0 -90.00 0.50 275.66
18 1.07 80.0    280.0 293.21 90.0 90.0  -90.0 -90.00 0.50 275.71
19 1.07 90.0    280.0 293.27 90.0 90.0  -90.0 -90.00 0.50 275.91
20 1.10  0.0    280.0 237.32 90.0  0.0    0.0 -90.00 0.50 154.02
21 1.10 10.0    280.0 237.40 90.0  0.0    0.0 -90.00 0.50 154.36
