# FILLET Exp2a with HEXTOR - using cloudir = -6.3 to stay consistent with Ben2 and Ben3
# Compile all cases into a list

# Name of benchmark/experiment: Experiment 2a
# Describe how ice line latitude is determined: ice line occurs if zonal average temperature is less than or equal to 263

# Columns of data
# Case = case number (0 -> total number of cases in experiment)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = diffusion coefficient
# OLR = global, annual mean outgoing longwave radiation

# Examples for IceLine max and min:
# Polar caps: IceLineNMax = 90, IceLineNMin = 60, IceLineSMax = -60, IceLineSMin = -90
# Snowball state: IceLineNMax = 90, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -90
# Ice free state: IceLineNMax = 90, IceLineNMin = 90, IceLineSMax = -90, IceLineSMin = -90
# Ice belt: IceLineNMax = 30, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -30
# Note ice belt doesn't really have "edges" at 0 deg, but record as 0 anyway to
# keep the columns the same length

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLRglob
0 0.83  0.0 280 211.70 90.0  0.0    0.0 -90.00 0.50 106.49
1 0.83 10.0 280 211.61 90.0  0.0    0.0 -90.00 0.50 106.49
2 0.83 20.0 280 211.21 90.0  0.0    0.0 -90.00 0.50 106.74
3 0.83 30.0 280 210.76 90.0  0.0    0.0 -90.00 0.50 107.68
4 0.83 40.0 280 210.36 90.0  0.0    0.0 -90.00 0.50 109.22
5 0.83 50.0 280 210.87 90.0  0.0    0.0 -90.00 0.50 112.14
6 0.83 60.0 280 210.80 90.0  0.0    0.0 -90.00 0.50 113.42
7 0.83 70.0 280 212.55 90.0  0.0    0.0 -90.00 0.50 116.62
8 0.83 80.0 280 213.58 90.0  0.0    0.0 -90.00 0.50 118.32
9 0.83 90.0 280 213.88 90.0  0.0    0.0 -90.00 0.50 118.81
10 0.85  0.0 280 213.27 90.0  0.0    0.0 -90.00 0.50 109.14
11 0.85 10.0 280 213.19 90.0  0.0    0.0 -90.00 0.50 109.16
12 0.85 20.0 280 212.88 90.0  0.0    0.0 -90.00 0.50 109.46
13 0.85 30.0 280 212.55 90.0  0.0    0.0 -90.00 0.50 110.49
14 0.85 40.0 280 212.35 90.0  0.0    0.0 -90.00 0.50 112.24
15 0.85 50.0 280 213.39 90.0  0.0    0.0 -90.00 0.50 115.80
16 0.85 60.0 280 214.50 90.0  0.0    0.0 -90.00 0.50 118.66
17 0.85 70.0 280 215.92 90.0  0.0    0.0 -90.00 0.50 121.18
18 0.85 80.0 280 216.80 90.0  0.0    0.0 -90.00 0.50 122.60
19 0.85 90.0 280 217.14 90.0  0.0    0.0 -90.00 0.50 123.13
20 0.87  0.0 280 214.90 90.0  0.0    0.0 -90.00 0.50 111.96
21 0.87 10.0 280 214.83 90.0  0.0    0.0 -90.00 0.50 111.99
22 0.87 20.0 280 214.61 90.0  0.0    0.0 -90.00 0.50 112.33
23 0.87 30.0 280 214.40 90.0  0.0    0.0 -90.00 0.50 113.46
24 0.87 40.0 280 214.67 90.0  0.0    0.0 -90.00 0.50 115.90
25 0.87 50.0 280 216.39 90.0  0.0    0.0 -90.00 0.50 120.33
26 0.87 60.0 280 217.73 90.0  0.0    0.0 -90.00 0.50 123.31
27 0.87 70.0 280 219.06 90.0  0.0    0.0 -90.00 0.50 125.61
28 0.87 80.0 280 219.95 90.0  0.0    0.0 -90.00 0.50 127.03
29 0.87 90.0 280 220.31 90.0  0.0    0.0 -90.00 0.50 127.60
30 0.89  0.0 280 216.59 90.0  0.0    0.0 -90.00 0.50 114.94
31 0.89 10.0 280 216.53 90.0  0.0    0.0 -90.00 0.50 114.98
32 0.89 20.0 280 216.38 90.0  0.0    0.0 -90.00 0.50 115.35
33 0.89 30.0 280 216.31 90.0  0.0    0.0 -90.00 0.50 116.59
34 0.89 40.0 280 217.19 90.0  0.0    0.0 -90.00 0.50 119.97
35 0.89 50.0 280 219.40 90.0  0.0    0.0 -90.00 0.50 125.02
36 0.89 60.0 280 220.89 90.0  0.0    0.0 -90.00 0.50 128.00
37 0.89 70.0 280 222.19 90.0  0.0    0.0 -90.00 0.50 130.19
38 0.89 80.0 280 224.77 90.0  0.0    0.0 -90.00 0.50 134.33
39 0.89 90.0 280 225.19 90.0  0.0    0.0 -90.00 0.50 135.02
40 0.91  0.0 280 218.29 90.0  0.0    0.0 -90.00 0.50 117.96
41 0.91 10.0 280 218.24 90.0  0.0    0.0 -90.00 0.50 118.02
42 0.91 20.0 280 218.14 90.0  0.0    0.0 -90.00 0.50 118.42
43 0.91 30.0 280 218.20 90.0  0.0    0.0 -90.00 0.50 119.78
44 0.91 40.0 280 219.61 90.0  0.0    0.0 -90.00 0.50 123.96
45 0.91 50.0 280 222.25 90.0  0.0    0.0 -90.00 0.50 129.53
46 0.91 60.0 280 224.57 90.0  0.0    0.0 -90.00 0.50 133.77
47 0.91 70.0 280 226.91 90.0  0.0    0.0 -90.00 0.50 137.67
48 0.91 80.0 280 228.37 90.0  0.0    0.0 -90.00 0.50 140.08
49 0.91 90.0 280 229.06 90.0  0.0    0.0 -90.00 0.50 141.22
50 0.93  0.0 280 220.12 90.0  0.0    0.0 -90.00 0.50 121.24
51 0.93 10.0 280 220.07 90.0  0.0    0.0 -90.00 0.50 121.30
52 0.93 20.0 280 220.04 90.0  0.0    0.0 -90.00 0.50 121.77
53 0.93 30.0 280 220.22 90.0  0.0    0.0 -90.00 0.50 123.27
54 0.93 40.0 280 222.03 90.0  0.0    0.0 -90.00 0.50 128.04
55 0.93 50.0 280 225.12 90.0  0.0    0.0 -90.00 0.50 134.22
56 0.93 60.0 280 228.50 90.0  0.0    0.0 -90.00 0.50 140.20
57 0.93 70.0 280 230.44 90.0  0.0    0.0 -90.00 0.50 143.53
58 0.93 80.0 280 231.95 90.0  0.0    0.0 -90.00 0.50 146.12
59 0.93 90.0 280 232.33 90.0  0.0    0.0 -90.00 0.50 146.79
60 0.95  0.0 280 222.01 90.0  0.0    0.0 -90.00 0.50 124.67
61 0.95 10.0 280 221.97 90.0  0.0    0.0 -90.00 0.50 124.74
62 0.95 20.0 280 222.00 90.0  0.0    0.0 -90.00 0.50 125.29
63 0.95 30.0 280 222.31 90.0  0.0    0.0 -90.00 0.50 126.95
64 0.95 40.0 280 225.35 90.0  0.0    0.0 -90.00 0.50 133.76
65 0.95 50.0 280 229.10 90.0  0.0    0.0 -90.00 0.50 140.98
66 0.95 60.0 280 232.02 90.0  0.0    0.0 -90.00 0.50 146.20
67 0.95 70.0 280 233.98 90.0  0.0    0.0 -90.00 0.50 149.68
68 0.95 80.0 280 235.20 90.0  0.0    0.0 -90.00 0.50 151.89
69 0.95 90.0 280 235.57 90.0  0.0    0.0 -90.00 0.50 152.58
70 0.98  0.0 280 224.05 90.0  0.0    0.0 -90.00 0.50 128.40
71 0.98 10.0 280 224.03 90.0  0.0    0.0 -90.00 0.50 128.51
72 0.98 20.0 280 224.10 90.0  0.0    0.0 -90.00 0.50 129.13
73 0.98 30.0 280 224.55 90.0  0.0    0.0 -90.00 0.50 130.98
74 0.98 40.0 280 228.23 90.0  0.0    0.0 -90.00 0.50 138.83
75 0.98 50.0 280 232.64 90.0  0.0    0.0 -90.00 0.50 147.18
76 0.98 60.0 280 235.53 90.0  0.0    0.0 -90.00 0.50 152.44
77 0.98 70.0 280 237.47 90.0  0.0    0.0 -90.00 0.50 156.04
78 0.98 80.0 280 238.60 90.0  0.0    0.0 -90.00 0.50 158.20
79 0.98 90.0 280 239.08 90.0  0.0    0.0 -90.00 0.50 159.12
80 1.00  0.0 280 226.12 90.0  0.0    0.0 -90.00 0.50 132.27
81 1.00 10.0 280 226.10 90.0  0.0    0.0 -90.00 0.50 132.39
82 1.00 20.0 280 226.23 90.0  0.0    0.0 -90.00 0.50 133.07
83 1.00 30.0 280 226.87 90.0  0.0    0.0 -90.00 0.50 135.23
84 1.00 40.0 280 231.09 90.0  0.0    0.0 -90.00 0.50 143.96
85 1.00 50.0 280 235.96 90.0  0.0    0.0 -90.00 0.50 153.17
86 1.00 60.0 280 238.88 90.0  0.0    0.0 -90.00 0.50 158.63
87 1.00 70.0 280 240.70 90.0  0.0    0.0 -90.00 0.50 162.13
88 1.00 80.0 280 244.12 80.8  0.0    0.0 -79.34 0.50 168.80
89 1.00 90.0 280 245.07 69.9  0.0    0.0 -69.58 0.50 170.68
90 1.03  0.0 280 228.34 90.0  0.0    0.0 -90.00 0.50 136.45
91 1.03 10.0 280 228.33 90.0  0.0    0.0 -90.00 0.50 136.59
92 1.03 20.0 280 228.50 90.0  0.0    0.0 -90.00 0.50 137.36
93 1.03 30.0 280 230.11 90.0  0.0    0.0 -90.00 0.50 141.30
94 1.03 40.0 280 235.42 90.0  0.0    0.0 -90.00 0.50 151.94
95 1.03 50.0 280 239.40 90.0  0.0    0.0 -90.00 0.50 159.58
96 1.03 60.0 280 244.33 90.0  0.0    0.0 -90.00 0.50 169.11
97 1.03 70.0 280 246.81 75.0  0.0    0.0 -72.76 0.50 174.02
98 1.03 80.0 280 249.21 58.1  0.0    0.0 -58.02 0.50 178.84
99 1.03 90.0 280 249.99 54.8  0.0    0.0 -54.71 0.50 180.46
100 1.05  0.0 280 230.65 90.0  0.0    0.0 -90.00 0.50 140.84
101 1.05 10.0 280 230.66 90.0  0.0    0.0 -90.00 0.50 140.99
102 1.05 20.0 280 230.88 90.0  0.0    0.0 -90.00 0.50 141.89
103 1.05 30.0 280 233.55 90.0  0.0    0.0 -90.00 0.50 147.85
104 1.05 40.0 280 238.84 90.0  0.0    0.0 -90.00 0.50 158.40
105 1.05 50.0 280 244.93 90.0  0.0    0.0 -90.00 0.50 170.26
106 1.05 60.0 280 248.65 90.0  0.0    0.0 -90.00 0.50 177.59
107 1.05 70.0 280 251.66 55.1  0.0    0.0 -55.24 0.50 183.71
108 1.05 80.0 280 258.30 40.7  0.0    0.0 -40.64 0.50 197.70
109 1.05 90.0 280 268.60 26.0  0.0    0.0 -26.24 0.50 219.87
110 1.08  0.0 280 233.07 90.0  0.0    0.0 -90.00 0.50 145.48
111 1.08 10.0 280 233.10 90.0  0.0    0.0 -90.00 0.50 145.70
112 1.08 20.0 280 233.38 90.0  0.0    0.0 -90.00 0.50 146.71
113 1.08 30.0 280 237.42 90.0  0.0    0.0 -90.00 0.50 155.32
114 1.08 40.0 280 244.10 90.0  0.0    0.0 -90.00 0.50 168.61
115 1.08 50.0 280 249.24 90.0  0.0    0.0 -90.00 0.50 178.73
116 1.08 60.0 280 253.25 58.5  0.0    0.0 -58.48 0.50 186.83
117 1.08 70.0 280 299.53 90.0 90.0  -90.0 -90.00 0.50 290.02
118 1.08 80.0 280 299.26 90.0 90.0  -90.0 -90.00 0.50 289.69
119 1.08 90.0 280 299.20 90.0 90.0  -90.0 -90.00 0.50 289.67
120 1.11  0.0 280 235.69 90.0  0.0    0.0 -90.00 0.50 150.62
121 1.11 10.0 280 235.73 90.0  0.0    0.0 -90.00 0.50 150.86
122 1.11 20.0 280 236.08 90.0  0.0    0.0 -90.00 0.50 152.00
123 1.11 30.0 280 241.32 90.0  0.0    0.0 -90.00 0.50 162.95
124 1.11 40.0 280 248.59 90.0  0.0    0.0 -90.00 0.50 177.46
125 1.11 50.0 280 257.25 64.1  0.0    0.0 -63.97 0.50 194.99
126 1.11 60.0 280 304.13 90.0 90.0  -90.0 -90.00 0.50 300.73
127 1.11 70.0 280 303.51 90.0 90.0  -90.0 -90.00 0.50 299.59
128 1.11 80.0 280 303.15 90.0 90.0  -90.0 -90.00 0.50 299.16
129 1.11 90.0 280 303.05 90.0 90.0  -90.0 -90.00 0.50 299.12
130 1.14  0.0 280 238.51 90.0  0.0    0.0 -90.00 0.50 156.19
131 1.14 10.0 280 238.56 90.0  0.0    0.0 -90.00 0.50 156.45
132 1.14 20.0 280 239.02 90.0  0.0    0.0 -90.00 0.50 157.81
133 1.14 30.0 280 247.65 90.0  0.0    0.0 -90.00 0.50 175.53
134 1.14 40.0 280 308.63 90.0 90.0  -90.0 -90.00 0.50 312.85
135 1.14 50.0 280 308.64 90.0 90.0  -90.0 -90.00 0.50 312.10
136 1.14 60.0 280 308.09 90.0 90.0  -90.0 -90.00 0.50 310.77
137 1.14 70.0 280 307.42 90.0 90.0  -90.0 -90.00 0.50 309.59
138 1.14 80.0 280 307.05 90.0 90.0  -90.0 -90.00 0.50 309.11
139 1.14 90.0 280 306.93 90.0 90.0  -90.0 -90.00 0.50 309.05
140 1.17  0.0 280 241.48 90.0  0.0    0.0 -90.00 0.50 162.11
141 1.17 10.0 280 241.58 90.0  0.0    0.0 -90.00 0.50 162.47
142 1.17 20.0 280 242.15 90.0  0.0    0.0 -90.00 0.50 164.09
143 1.17 30.0 280 311.83 90.0 90.0  -90.0 -90.00 0.50 323.02
144 1.17 40.0 280 312.31 90.0 90.0  -90.0 -90.00 0.50 323.02
145 1.17 50.0 280 312.26 90.0 90.0  -90.0 -90.00 0.50 322.23
146 1.17 60.0 280 311.89 90.0 90.0  -90.0 -90.00 0.50 321.00
147 1.17 70.0 280 311.21 90.0 90.0  -90.0 -90.00 0.50 319.79
148 1.17 80.0 280 310.78 90.0 90.0  -90.0 -90.00 0.50 319.27
149 1.17 90.0 280 310.67 90.0 90.0  -90.0 -90.00 0.50 319.19
150 1.20  0.0 280 244.77 90.0  0.0    0.0 -90.00 0.50 168.80
151 1.20 10.0 280 244.91 90.0  0.0    0.0 -90.00 0.50 169.23
152 1.20 20.0 280 314.78 90.0 90.0  -90.0 -90.00 0.50 333.51
153 1.20 30.0 280 315.28 90.0 90.0  -90.0 -90.00 0.50 333.46
154 1.20 40.0 280 315.85 90.0 90.0  -90.0 -90.00 0.50 333.53
155 1.20 50.0 280 315.91 90.0 90.0  -90.0 -90.00 0.50 332.84
156 1.20 60.0 280 315.45 90.0 90.0  -90.0 -90.00 0.50 331.56
157 1.20 70.0 280 314.91 90.0 90.0  -90.0 -90.00 0.50 330.40
158 1.20 80.0 280 314.50 90.0 90.0  -90.0 -90.00 0.50 329.86
159 1.20 90.0 280 314.37 90.0 90.0  -90.0 -90.00 0.50 329.77
160 1.23  0.0 280 248.31 90.0  0.0    0.0 -90.00 0.50 176.05
161 1.23 10.0 280 248.48 90.0  0.0    0.0 -90.00 0.50 176.54
162 1.23 20.0 280 318.18 90.0 90.0  -90.0 -90.00 0.50 344.13
163 1.23 30.0 280 318.69 90.0 90.0  -90.0 -90.00 0.50 344.13
164 1.23 40.0 280 319.20 90.0 90.0  -90.0 -90.00 0.50 344.19
165 1.23 50.0 280 319.29 90.0 90.0  -90.0 -90.00 0.50 343.54
166 1.23 60.0 280 318.88 90.0 90.0  -90.0 -90.00 0.50 342.30
167 1.23 70.0 280 318.35 90.0 90.0  -90.0 -90.00 0.50 341.11
168 1.23 80.0 280 318.04 90.0 90.0  -90.0 -90.00 0.50 340.60
169 1.23 90.0 280 317.94 90.0 90.0  -90.0 -90.00 0.50 340.51
170 1.27  0.0 280 321.37 90.0 90.0  -90.0 -90.00 0.50 355.87
171 1.27 10.0 280 321.45 90.0 90.0  -90.0 -90.00 0.50 355.73
172 1.27 20.0 280 321.67 90.0 90.0  -90.0 -90.00 0.50 355.38
173 1.27 30.0 280 322.17 90.0 90.0  -90.0 -90.00 0.50 355.43
174 1.27 40.0 280 322.62 90.0 90.0  -90.0 -90.00 0.50 355.54
175 1.27 50.0 280 322.62 90.0 90.0  -90.0 -90.00 0.50 354.84
176 1.27 60.0 280 322.34 90.0 90.0  -90.0 -90.00 0.50 353.68
177 1.27 70.0 280 321.86 90.0 90.0  -90.0 -90.00 0.50 352.49
178 1.27 80.0 280 321.55 90.0 90.0  -90.0 -90.00 0.50 351.95
179 1.27 90.0 280 321.47 90.0 90.0  -90.0 -90.00 0.50 351.86
180 1.31  0.0 280 324.97 90.0 90.0  -90.0 -90.00 0.50 367.55
181 1.31 10.0 280 325.05 90.0 90.0  -90.0 -90.00 0.50 367.42
182 1.31 20.0 280 325.25 90.0 90.0  -90.0 -90.00 0.50 367.09
183 1.31 30.0 280 325.69 90.0 90.0  -90.0 -90.00 0.50 367.13
184 1.31 40.0 280 326.04 90.0 90.0  -90.0 -90.00 0.50 367.25
185 1.31 50.0 280 325.98 90.0 90.0  -90.0 -90.00 0.50 366.60
186 1.31 60.0 280 325.68 90.0 90.0  -90.0 -90.00 0.50 365.39
187 1.31 70.0 280 325.35 90.0 90.0  -90.0 -90.00 0.50 364.27
188 1.31 80.0 280 325.09 90.0 90.0  -90.0 -90.00 0.50 363.72
189 1.31 90.0 280 325.01 90.0 90.0  -90.0 -90.00 0.50 363.62
