# FILLET Exp4 with HEXTOR - using cloudir = -6.3 to stay consistent with Ben2 and Ben3
# Compile all cases into a list

# Name of benchmark/experiment: Experiment 4
# Describe how ice line latitude is determined: ice line occurs if zonal average temperature is less than or equal to 263

# Columns of data
# Case = case number (0 -> total number of cases in experiment)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = diffusion coefficient
# OLR = global, annual mean outgoing longwave radiation

# Examples for IceLine max and min:
# Polar caps: IceLineNMax = 90, IceLineNMin = 60, IceLineSMax = -60, IceLineSMin = -90
# Snowball state: IceLineNMax = 90, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -90
# Ice free state: IceLineNMax = 90, IceLineNMin = 90, IceLineSMax = -90, IceLineSMin = -90
# Ice belt: IceLineNMax = 30, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -30
# Note ice belt doesn't really have "edges" at 0 deg, but record as 0 anyway to
# keep the columns the same length

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLRglob
0 1.00 23.5      1.0 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
1 1.00 23.5      1.3 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
2 1.00 23.5      1.6 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
3 1.00 23.5      2.0 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
4 1.00 23.5      2.6 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
5 1.00 23.5      3.2 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
6 1.00 23.5      4.1 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
7 1.00 23.5      5.2 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
8 1.00 23.5      6.6 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
9 1.00 23.5      8.3 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
10 1.00 23.5     10.5 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
11 1.00 23.5     13.3 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
12 1.00 23.5     16.8 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
13 1.00 23.5     21.2 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
14 1.00 23.5     26.8 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
15 1.00 23.5     33.9 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
16 1.00 23.5     42.9 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
17 1.00 23.5     54.3 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
18 1.00 23.5     68.7 225.28 90.0  0.0    0.0 -90.00 0.50 135.64
19 1.00 23.5     86.9 225.73 90.0  0.0    0.0 -90.00 0.50 135.90
20 1.00 23.5    109.9 226.23 90.0  0.0    0.0 -90.00 0.50 136.19
21 1.00 23.5    138.9 226.73 90.0  0.0    0.0 -90.00 0.50 136.50
22 1.00 23.5    175.8 227.26 90.0  0.0    0.0 -90.00 0.50 136.82
23 1.00 23.5    222.3 227.80 90.0  0.0    0.0 -90.00 0.50 137.18
24 1.00 23.5    281.2 228.37 90.0  0.0    0.0 -90.00 0.50 137.53
25 1.00 23.5    355.6 228.95 90.0  0.0    0.0 -90.00 0.50 137.92
26 1.00 23.5    449.8 229.54 90.0  0.0    0.0 -90.00 0.50 138.31
27 1.00 23.5    569.0 230.17 90.0  0.0    0.0 -90.00 0.50 138.74
28 1.00 23.5    719.7 230.80 90.0  0.0    0.0 -90.00 0.50 139.19
29 1.00 23.5    910.3 231.46 90.0  0.0    0.0 -90.00 0.50 139.65
30 1.00 23.5   1151.4 232.15 90.0  0.0    0.0 -90.00 0.50 140.14
31 1.00 23.5   1456.3 232.84 90.0  0.0    0.0 -90.00 0.50 140.64
32 1.00 23.5   1842.1 233.57 90.0  0.0    0.0 -90.00 0.50 141.16
33 1.00 23.5   2330.0 234.35 90.0  0.0    0.0 -90.00 0.50 141.73
34 1.00 23.5   2947.1 235.17 90.0  0.0    0.0 -90.00 0.50 142.33
35 1.00 23.5   3727.6 236.02 90.0  0.0    0.0 -90.00 0.50 142.98
36 1.00 23.5   4714.9 236.96 90.0  0.0    0.0 -90.00 0.50 143.71
37 1.00 23.5   5963.6 238.00 90.0  0.0    0.0 -90.00 0.50 144.52
38 1.00 23.5   7543.1 239.92 90.0  0.0    0.0 -90.00 0.50 146.66
39 1.00 23.5   9541.0 243.35 90.0  0.0    0.0 -90.00 0.50 151.37
40 1.00 23.5  12067.9 245.65 90.0  0.0    0.0 -90.00 0.50 153.95
41 1.00 23.5  15264.2 301.21 90.0 90.0  -90.0 -90.00 0.50 261.72
42 1.00 23.5  19307.0 302.70 90.0 90.0  -90.0 -90.00 0.50 262.26
43 1.00 23.5  24420.5 304.30 90.0 90.0  -90.0 -90.00 0.50 262.77
44 1.00 23.5  30888.4 305.99 90.0 90.0  -90.0 -90.00 0.50 263.22
45 1.00 23.5  39069.4 307.81 90.0 90.0  -90.0 -90.00 0.50 263.65
46 1.00 23.5  49417.1 309.75 90.0 90.0  -90.0 -90.00 0.50 264.04
47 1.00 23.5  62505.5 311.82 90.0 90.0  -90.0 -90.00 0.50 264.36
48 1.00 23.5  79060.4 314.20 90.0 90.0  -90.0 -90.00 0.50 264.48
49 1.00 23.5 100000.0 316.50 90.0 90.0  -90.0 -90.00 0.50 264.55
50 1.00 23.5 100000.0 316.52 90.0 90.0  -90.0 -90.00 0.50 264.59
51 1.00 23.5  79060.4 314.20 90.0 90.0  -90.0 -90.00 0.50 264.49
52 1.00 23.5  62505.5 311.81 90.0 90.0  -90.0 -90.00 0.50 264.34
53 1.00 23.5  49417.1 309.76 90.0 90.0  -90.0 -90.00 0.50 264.07
54 1.00 23.5  39069.4 307.81 90.0 90.0  -90.0 -90.00 0.50 263.66
55 1.00 23.5  30888.4 305.99 90.0 90.0  -90.0 -90.00 0.50 263.21
56 1.00 23.5  24420.5 304.30 90.0 90.0  -90.0 -90.00 0.50 262.76
57 1.00 23.5  19307.0 302.71 90.0 90.0  -90.0 -90.00 0.50 262.28
58 1.00 23.5  15264.2 301.20 90.0 90.0  -90.0 -90.00 0.50 261.68
59 1.00 23.5  12067.9 299.69 90.0 90.0  -90.0 -90.00 0.50 260.98
60 1.00 23.5   9541.0 298.35 90.0 90.0  -90.0 -90.00 0.50 260.32
61 1.00 23.5   7543.1 296.74 90.0 90.0  -90.0 -90.00 0.50 259.09
62 1.00 23.5   5963.6 295.10 90.0 90.0  -90.0 -90.00 0.50 257.86
63 1.00 23.5   4714.9 293.64 90.0 90.0  -90.0 -90.00 0.50 256.74
64 1.00 23.5   3727.6 292.24 90.0 80.5  -79.8 -90.00 0.50 255.64
65 1.00 23.5   2947.1 290.68 90.0 73.4  -72.7 -90.00 0.50 254.07
66 1.00 23.5   2330.0 289.32 90.0 71.8  -69.3 -90.00 0.50 252.84
67 1.00 23.5   1842.1 288.60 90.0 75.5  -69.5 -90.00 0.50 252.86
68 1.00 23.5   1456.3 287.00 90.0 64.9  -64.7 -90.00 0.50 251.07
69 1.00 23.5   1151.4 285.77 90.0 63.0  -62.9 -90.00 0.50 249.93
70 1.00 23.5    910.3 284.37 90.0 60.8  -60.8 -90.00 0.50 248.36
71 1.00 23.5    719.7 282.74 90.0 58.3  -58.3 -90.00 0.50 246.26
72 1.00 23.5    569.0 281.21 90.0 56.0  -56.0 -90.00 0.50 244.23
73 1.00 23.5    449.8 279.75 90.0 54.0  -53.9 -90.00 0.50 242.38
74 1.00 23.5    355.6 278.35 90.0 52.2  -52.2 -90.00 0.50 240.64
75 1.00 23.5    281.2 276.51 90.0 49.8  -49.8 -90.00 0.50 237.88
76 1.00 23.5    222.3 275.49 90.0 48.5  -48.5 -90.00 0.50 236.85
77 1.00 23.5    175.8 271.80 90.0 43.8  -43.8 -90.00 0.50 229.89
78 1.00 23.5    138.9 269.70 90.0 41.3  -41.3 -90.00 0.50 226.31
79 1.00 23.5    109.9 267.13 90.0 38.2  -38.2 -90.00 0.50 221.74
80 1.00 23.5     86.9 225.73 90.0  0.0    0.0 -90.00 0.50 135.90
81 1.00 23.5     68.7 225.28 90.0  0.0    0.0 -90.00 0.50 135.64
82 1.00 23.5     54.3 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
83 1.00 23.5     42.9 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
84 1.00 23.5     33.9 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
85 1.00 23.5     26.8 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
86 1.00 23.5     21.2 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
87 1.00 23.5     16.8 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
88 1.00 23.5     13.3 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
89 1.00 23.5     10.5 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
90 1.00 23.5      8.3 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
91 1.00 23.5      6.6 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
92 1.00 23.5      5.2 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
93 1.00 23.5      4.1 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
94 1.00 23.5      3.2 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
95 1.00 23.5      2.6 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
96 1.00 23.5      2.0 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
97 1.00 23.5      1.6 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
98 1.00 23.5      1.3 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
99 1.00 23.5      1.0 225.14 90.0  0.0    0.0 -90.00 0.50 135.56
