ZONAL STATISTICS
 latitude(deg)  ave temp(K)  min temp(K)  @dec(deg)  max temp(K)  @dec(deg)  planet albe
    -85.          258.858      246.776       7.96      270.781     -20.07        0.773
    -75.          260.699      249.219       7.96      271.362     -18.43        0.669
    -65.          265.892      256.293       6.45      273.557     -10.01        0.463
    -55.          273.183      266.795      -0.55      278.423      -2.05        0.422
    -45.          281.296      277.053      -2.90      285.392       0.31        0.348
    -35.          289.368      285.879       1.42      292.893      -0.09        0.294
    -25.          296.388      293.429       5.31      299.311       0.31        0.258
    -15.          301.514      299.477       7.21      303.471       3.14        0.233
     -5.          304.039      303.130      11.91      304.878       8.84        0.222
      5.          303.599      302.868     -11.08      304.398     -11.48        0.225
     15.          300.170      298.130      -4.39      302.328      -5.99        0.244
     25.          294.129      290.418      -0.48      297.979      -2.90        0.282
     35.          286.206      280.068       0.31      292.105      -0.55        0.332
     45.          277.263      267.337      -2.05      285.694       2.59        0.478
     55.          268.495      254.720      -7.44      279.561       5.69        0.633
     65.          261.331      244.728      -9.29      274.489       9.43        0.674
