# fco2  tg0  zy  surfalb  OLR  PALB
  9.99999000E-07  2.00000000E+02  0.00000000E+00  2.00000000E-01  8.33300000E+04  2.27200000E-01
  2.99999100E-06  2.00000000E+02  0.00000000E+00  2.00000000E-01  8.33300000E+04  2.27200000E-01
  5.99996400E-06  2.00000000E+02  0.00000000E+00  2.00000000E-01  8.33300000E+04  2.27200000E-01
  9.99990000E-06  2.00000000E+02  0.00000000E+00  2.00000000E-01  8.33300000E+04  2.27200000E-01
  2.99991000E-05  2.00000000E+02  0.00000000E+00  2.00000000E-01  8.33300000E+04  2.27200000E-01
  5.99964002E-05  2.00000000E+02  0.00000000E+00  2.00000000E-01  8.33300000E+04  2.27200000E-01
  9.99900010E-05  2.00000000E+02  0.00000000E+00  2.00000000E-01  8.26578288E+04  2.27000000E-01
  2.99910027E-04  2.00000000E+02  0.00000000E+00  2.00000000E-01  8.08726661E+04  2.26300000E-01
  5.99640216E-04  2.00000000E+02  0.00000000E+00  2.00000000E-01  7.97142031E+04  2.25800000E-01
  9.99000999E-04  2.00000000E+02  0.00000000E+00  2.00000000E-01  7.88606772E+04  2.25500000E-01
  2.99102692E-03  2.00000000E+02  0.00000000E+00  2.00000000E-01  7.68471669E+04  2.24500000E-01
  5.96421471E-03  2.00000000E+02  0.00000000E+00  2.00000000E-01  7.53481205E+04  2.23800000E-01
  9.90099010E-03  2.00000000E+02  0.00000000E+00  2.00000000E-01  7.41657772E+04  2.22900000E-01
  2.91262136E-02  2.00000000E+02  0.00000000E+00  2.00000000E-01  7.10874578E+04  2.22400000E-01
  5.66037736E-02  2.00000000E+02  0.00000000E+00  2.00000000E-01  6.82977315E+04  2.22800000E-01
  9.09090909E-02  2.00000000E+02  0.00000000E+00  2.00000000E-01  6.58953966E+04  2.25200000E-01
  2.30769231E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01  6.10055198E+04  2.33600000E-01
  3.75000000E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01  5.92010125E+04  2.45400000E-01
  5.00000000E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  6.66666667E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  7.50000000E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  8.00000000E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  8.33333333E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  8.57142857E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  8.75000000E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01  1.00000000E+00 -1.00000000E+00
  8.88888889E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01  1.00000000E+00 -1.00000000E+00
  9.00000000E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01  1.00000000E+00 -1.00000000E+00
  9.09090909E-01  2.00000000E+02  0.00000000E+00  2.00000000E-01  1.00000000E+00 -1.00000000E+00
  9.99999000E-07  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.18000000E+05  2.25000000E-01
  2.99999100E-06  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.18000000E+05  2.25000000E-01
  5.99996400E-06  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.18000000E+05  2.25000000E-01
  9.99990000E-06  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.18000000E+05  2.25000000E-01
  2.99991000E-05  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.18000000E+05  2.25000000E-01
