case,init,instellation,ps_bar,fco2,d0,cloudir,cloudir_ref,cloud_scaling,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,dT_rate10,n_years,state,diffadj,rot_scaling,D,dt,table,rh_table,moistdiff,rhmoist,beta,t_hot,dt_passes,dt_capped,fluxcnvg,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
1,cold,500,0.7,0.0005711022272986866,2.46,-45.09,-45.09,constant,173.1,148.455,210.527,99.41994960548111,100.04802762696981,0.6280780214887045,-0.07500000000001705,-0.010000000000047748,28,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.492479426200447,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0002899169921875,0.8,0,
1,warm,500,0.7,0.0005711022272986866,2.46,-45.09,-45.09,constant,173.1,148.455,210.527,99.42032441742003,100.04805018453594,0.6277257671159049,-0.08899999999999864,-0.01999999999981128,29,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.492479426200447,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00022125244140625,0.7,0,
2,cold,1900,7.85,5.0952817690818304e-05,2.46,-45.09,-45.09,constant,753.258,649.322,998.625,353.663,465.7147606645925,112.0517606645925,347.41600000000005,352.3400000000004,14,"runaway (beyond table, T > 620 K)",False,False,2.46,649.6052761554539,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,12.360906263340365,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,6.103515625e-05,1.2,0,
2,warm,1900,7.85,5.0952817690818304e-05,2.46,-45.09,-45.09,constant,751.633,648.447,996.79,353.663,465.7147606645925,112.0517606645925,347.379,352.3700000000008,13,"runaway (beyond table, T > 620 K)",False,False,2.46,649.6052761554539,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,12.360906263340365,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,9.1552734375e-05,1.2,0,
3,cold,2400,0.21,0.0019011406844106464,2.46,-45.09,-45.09,constant,49726.549,nan,nan,360.5532931086945,588.701620988059,228.14832787936444,726.1749999999956,726.1399999999412,675,"runaway (beyond table, T > 620 K)",False,False,2.46,1308.7446882086845,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.135428857189393,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000335693359375,26.8,0,
3,warm,2400,0.21,0.0019011406844106464,2.46,-45.09,-45.09,constant,46871.301,nan,nan,360.4131451250303,588.701620988059,228.28847586302862,726.6339999999982,726.5899999999965,635,"runaway (beyond table, T > 620 K)",False,False,2.46,1308.7446882086845,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.135428857189393,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00042724609375,27.7,0,
4,cold,1200,2.34,0.00017091095539224066,2.46,-45.09,-45.09,constant,292.214,244.324,334.691,287.58151624275627,289.79709727873933,2.215581035983064,0.3149999999999977,0.020000000000095497,21,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.900061195376143,335.691,2,False,0.0005,0.0,90.0,-34.168,124.168,True,0.000396728515625,0.8,0,
4,warm,1200,2.34,0.00017091095539224066,2.46,-45.09,-45.09,constant,292.217,244.327,334.692,287.5843452326846,289.79717626866767,2.212831035983072,-0.14699999999999136,-0.010000000000331966,18,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.900229673705411,335.692,2,False,0.0005,0.0,90.0,-34.171,124.17099999999999,True,9.1552734375e-05,0.7,0,
5,cold,1500,0.16,0.0024937655860349127,2.46,-45.09,-45.09,constant,2013.498,1902.42,2186.581,351.8819524007491,367.94043541425043,16.058483013501302,43.59699999999998,43.559999999999945,357,"runaway (beyond table, T > 620 K)",False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.081018867360958,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00048828125,15.0,0,
5,warm,1500,0.16,0.0024937655860349127,2.46,-45.09,-45.09,constant,2205.121,2093.991,2378.156,352.03727626983306,367.94043541425043,15.903159144417373,43.08600000000024,43.04999999999836,398,"runaway (beyond table, T > 620 K)",False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.081018867360958,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000335693359375,16.2,0,
