case,init,instellation,ps_bar,fco2,d0,cloudir,cloudir_ref,cloud_scaling,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,dT_rate10,n_years,state,diffadj,rot_scaling,D,dt,table,rh_table,moistdiff,rhmoist,beta,t_hot,dt_passes,dt_capped,fluxcnvg,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
1,warm,500,0.7,0.0005711022272986866,2.46,-25.05,-45.09,instellation,189.255,165.615,225.788,100.0197610314281,100.65508475647827,0.6353237250501707,-0.057999999999992724,-0.010000000000047748,27,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.492479426200447,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00038909912109375,0.7,0,
2,warm,1900,7.85,5.0952817690818304e-05,2.46,-95.19,-45.09,instellation,743.201,637.504,970.95,403.763,465.7147606645925,61.95176066459254,189.438,189.88000000000056,23,"runaway (beyond table, T > 620 K)",False,False,2.46,649.6052761554539,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,12.360906263340365,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0,1.7,0,
3,warm,2400,0.21,0.0019011406844106464,2.46,-120.24000000000001,-45.09,instellation,30819.214,nan,nan,434.56945303234056,588.701620988059,154.1321679557184,486.1980000000003,486.15999999998166,619,"runaway (beyond table, T > 620 K)",False,False,2.46,1308.7446882086845,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.135428857189393,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00042724609375,27.0,0,
4,warm,1200,2.34,0.00017091095539224066,2.46,-60.120000000000005,-45.09,instellation,282.364,230.46,330.897,286.8836690571385,289.0860479915607,2.2023789344221996,-0.07699999999999818,0.0,21,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.287027270402072,331.897,2,False,0.0005,0.0,90.0,-18.368,108.368,True,6.103515625e-05,1.1,0,
5,warm,1500,0.16,0.0024937655860349127,2.46,-75.15,-45.09,instellation,293.477,281.82,306.148,362.1152806309689,364.7229703007633,2.607689669794354,-0.20199999999999818,-0.020000000000095497,19,equilibrium,False,False,2.46,453.5140301339639,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,17.705538072012885,307.148,2,False,0.0005,0.0,90.0,-90.0,180.0,True,0.0003662109375,2.0,0,
6,warm,2100,1.83,0.00021853146853146853,2.46,-105.21,-45.09,instellation,7553.137,7422.614,7820.431,415.44663235287334,515.0211428571355,99.57451050426215,310.8719999999994,310.81999999999425,231,"runaway (beyond table, T > 620 K)",False,False,2.46,466.09822099105855,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,17.22750606010774,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000274658203125,17.7,0,
7,warm,1600,0.55,0.0007267441860465116,2.46,-80.16,-45.09,instellation,418.309,410.235,439.264,383.6248666048846,393.9960136285839,10.371147023699336,26.003000000000043,25.370000000000346,47,runaway,False,False,2.46,706.7562920928447,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,11.361356123128871,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000335693359375,6.5,0,
8,warm,800,6.16,6.49308486461918e-05,2.46,-40.08,-45.09,instellation,228.402,188.101,291.086,174.21376940279987,175.4885559021125,1.2747864993126257,-0.02600000000001046,0.0,31,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,1.4155871657750247,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,6.103515625e-05,0.5,0,
9,warm,1100,0.7,0.0005711022272986866,2.46,-55.11000000000001,-45.09,instellation,262.438,216.686,304.838,263.3145282327692,265.270234399084,1.955706166314826,-0.22100000000000364,-0.010000000000331966,19,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.583401445499418,305.838,2,False,0.0005,0.0,90.0,-0.41,90.41,True,0.000213623046875,0.7,0,
10,warm,400,4.83,8.280887711162637e-05,2.46,-20.04,-45.09,instellation,176.932,157.88,206.294,77.78339217838956,78.29103136821757,0.5076391898280121,-0.10500000000001819,-0.020000000000095497,28,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,1.5291527351265213,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00034332275390625,0.5,0,
11,warm,900,0.1,0.00398406374501992,2.46,-45.09,-45.09,instellation,225.518,188.822,265.152,188.4024079391656,189.79898834379347,1.396580404627855,-0.4370000000000118,-0.01999999999981128,20,equilibrium,False,False,2.46,414.5518738285823,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,19.369614356270382,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.000244140625,1.1,0,
12,warm,1500,2.98,0.00013421017313112335,2.46,-75.15,-45.09,instellation,335.893,308.758,361.571,362.4037870489066,365.04574388863387,2.641956839727243,0.0999999999999659,0.049999999999954525,37,equilibrium,False,False,2.46,828.413350439151,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,9.692878467581744,362.574,2,False,0.0005,0.0,90.0,-90.0,180.0,True,0.0003662109375,1.8,0,
13,warm,1600,0.16,0.0024937655860349127,2.46,-80.16,-45.09,instellation,743.544,622.967,924.802,385.24073464498275,392.4698526979036,7.229118052920853,14.413000000000011,14.379999999999882,212,"runaway (beyond table, T > 620 K)",False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.081018867360958,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000396728515625,10.1,0,
14,warm,900,1.44,0.00027770063871146905,2.46,-45.09,-45.09,instellation,241.464,197.22,297.557,208.9110475323153,210.39877933354148,1.4877318012261753,-0.1980000000000075,-0.01999999999981128,22,equilibrium,False,False,2.46,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,2.743463031548327,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0003204345703125,0.4,0,
