case,init,instellation,ps_bar,fco2,d0,cloudir,cloudir_ref,cloud_scaling,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,dT_rate10,n_years,state,diffadj,rot_scaling,D,dt,moistdiff,rhmoist,beta,t_hot,dt_passes,dt_capped,fluxcnvg,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
1,warm,500,0.7,0.0005711022272986866,3.33,-45.0,-45.0,constant,174.012,154.821,202.916,99.23657943313594,99.88117286550776,0.6445934323718205,-0.0689999999999884,-0.010000000000047748,29,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0004730224609375,0.5,0,
2,warm,1900,7.85,5.0952817690818304e-05,3.33,-45.0,-45.0,constant,802.815,730.115,995.884,353.573,465.7147606645925,112.14176066459254,351.24800000000005,352.5699999999995,14,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-90.0,180.0,True,0.0,0.6,0,
3,warm,2400,0.21,0.0019011406844106464,3.33,-45.0,-45.0,constant,50634.853,nan,nan,360.50619156120007,588.701620988059,228.19542942685888,725.8110000000015,725.7700000000477,687,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-90.0,180.0,True,0.000335693359375,13.5,0,
4,warm,1200,2.34,0.00017091095539224066,3.33,-45.0,-45.0,constant,300.933,245.141,389.386,290.04070393075835,292.22452170103617,2.1838177702778125,0.055999999999983174,0.009999999999763531,23,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-29.26,119.26,True,6.103515625e-05,0.5,0,
5,warm,1500,0.16,0.0024937655860349127,3.33,-45.0,-45.0,constant,2101.735,2020.815,2230.745,351.86594222170874,367.94043541425043,16.074493192541695,43.646000000000186,43.60000000000127,372,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-90.0,180.0,True,0.0003662109375,6.8,0,
6,warm,2100,1.83,0.00021853146853146853,3.33,-45.0,-45.0,constant,18653.631,nan,nan,356.3813547371112,515.0211428571355,158.63978812002426,502.15300000000207,502.1099999999933,363,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-90.0,180.0,True,0.000457763671875,7.1,0,
7,warm,1600,0.55,0.0007267441860465116,3.33,-45.0,-45.0,constant,7968.13,7887.377,8111.311,358.1312569267753,392.45258187952135,34.32132495274607,102.19599999999991,102.16000000000349,699,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-90.0,180.0,True,0.00042724609375,13.4,0,
8,warm,800,6.16,6.49308486461918e-05,3.33,-45.0,-45.0,constant,218.581,188.347,266.236,162.67804132083361,163.8857135010498,1.2076721802161785,-0.06200000000001182,-0.010000000000047748,33,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0001068115234375,0.6,0,
9,warm,1100,0.7,0.0005711022272986866,3.33,-45.0,-45.0,constant,273.848,225.994,350.676,266.1222465943393,268.06554008056384,1.9432934862245475,-0.20299999999997453,-0.020000000000095497,21,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-1.781,91.781,True,0.000335693359375,0.4,0,
10,warm,400,4.83,8.280887711162637e-05,3.33,-45.0,-45.0,constant,153.52,137.588,177.455,77.67413721711712,78.20309191944487,0.5289547023277521,-0.06499999999999773,-0.020000000000095497,36,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00035858154296875,0.6,0,
11,warm,900,0.1,0.00398406374501992,3.33,-45.0,-45.0,constant,231.109,196.753,286.653,200.17165541485093,201.60067450785536,1.4290190930044275,-0.11299999999999955,-0.009999999999763531,23,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0002593994140625,0.4,0,
12,warm,1500,2.98,0.00013421017313112335,3.33,-45.0,-45.0,constant,677.856,596.719,806.624,352.4527444602563,367.8286485218965,15.375904061640199,41.263000000000034,41.299999999999955,77,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-90.0,180.0,True,0.000396728515625,1.5,0,
13,warm,1600,0.16,0.0024937655860349127,3.33,-45.0,-45.0,constant,5984.29,5904.985,6128.929,353.662540570767,392.4698526979036,38.80731212713658,116.72900000000027,116.68999999999869,467,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-90.0,180.0,True,0.000335693359375,10.8,0,
14,warm,900,1.44,0.00027770063871146905,3.33,-45.0,-45.0,constant,240.085,203.415,298.575,205.40077455481634,206.8562388374058,1.4554642825894746,-0.0619999999999834,-0.009999999999763531,26,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,7.62939453125e-05,0.9,0,
15,warm,600,0.43,0.000929368029739777,3.33,-45.0,-45.0,constant,189.305,166.904,223.498,119.96345624987556,120.74588709706389,0.7824308471883228,-0.08299999999999841,-0.010000000000047748,26,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.000152587890625,0.8,0,
16,warm,1400,10.0,3.999840006399744e-05,3.33,-45.0,-45.0,constant,405.374,331.067,517.422,338.4875423383884,341.01219109893725,2.524648760548871,0.07500000000004547,0.049999999999954525,74,equilibrium,False,False,3.33,1350.0,False,0.0,1.0,300.0,1,False,0.0005,0.0,90.0,-90.0,180.0,True,0.00018310546875,2.6,0,
