case,init,instellation,ps_bar,fco2,d0,cloudir,cloudir_ref,cloud_scaling,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,dT_rate10,n_years,state,diffadj,rot_scaling,D,dt,table,rh_table,moistdiff,rhmoist,beta,t_hot,dt_passes,dt_capped,fluxcnvg,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
1,warm,500,0.7,0.0005711022272986866,3.33,-45.0,-45.0,constant,174.012,154.821,202.912,99.23623578245036,99.88110587820965,0.6448700957592877,-0.06800000000001205,-0.010000000000047748,29,equilibrium,False,False,3.33,1320.397317595855,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.492479426200447,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00049591064453125,1.0,0,
2,warm,1900,7.85,5.0952817690818304e-05,3.33,-45.0,-45.0,constant,750.614,678.296,943.296,353.573,465.7147606645925,112.14176066459254,347.33200000000005,352.3900000000003,13,"runaway (beyond table, T > 620 K)",False,False,3.33,479.88858238511006,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,12.360906263340365,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0,2.0,0,
3,warm,2400,0.21,0.0019011406844106464,3.33,-45.0,-45.0,constant,44402.318,nan,nan,360.19498335282606,588.701620988059,228.5066376352329,727.0970000000016,727.0500000000175,601,"runaway (beyond table, T > 620 K)",False,False,3.33,966.8204002983074,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.135428857189393,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00048828125,37.5,0,
4,warm,1200,2.34,0.00017091095539224066,3.33,-45.0,-45.0,constant,289.774,251.714,326.474,286.64156678865635,288.81141576589863,2.1698489772422818,-0.14100000000001955,-0.010000000000331966,19,equilibrium,False,False,3.33,1278.670682746066,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.639081714902864,327.474,2,False,0.0005,0.0,90.0,-39.831,129.83100000000002,True,0.0003662109375,1.6,0,
5,warm,1500,0.16,0.0024937655860349127,3.33,-45.0,-45.0,constant,2220.154,2139.207,2349.139,351.95973346182393,367.94043541425043,15.9807019524265,43.375,43.33000000000084,397,"runaway (beyond table, T > 620 K)",False,False,3.33,1167.45439026299,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.081018867360958,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000396728515625,18.6,0,
6,warm,2100,1.83,0.00021853146853146853,3.33,-45.0,-45.0,constant,9384.376,9315.496,9609.382,355.51325946470274,515.0211428571355,159.50788339243275,505.14700000000084,505.06999999999607,179,"runaway (beyond table, T > 620 K)",False,False,3.33,344.32481190330446,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,17.22750606010774,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00042724609375,30.5,0,
7,warm,1600,0.55,0.0007267441860465116,3.33,-45.0,-45.0,constant,5382.109,5301.705,5525.633,357.0714412053256,392.45258187952135,35.38114067419576,105.69700000000012,105.63999999999396,451,"runaway (beyond table, T > 620 K)",False,False,3.33,522.1082518163356,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,11.361356123128871,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00042724609375,45.0,0,
8,warm,800,6.16,6.49308486461918e-05,3.33,-45.0,-45.0,constant,218.532,188.358,265.593,162.58764609308184,163.7921124800273,1.2044663869454553,-0.0689999999999884,-0.010000000000047748,31,equilibrium,False,False,3.33,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,1.4155871657750247,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0003204345703125,0.6,0,
9,warm,1100,0.7,0.0005711022272986866,3.33,-45.0,-45.0,constant,266.954,232.235,300.319,263.07628201687356,265.0082345854553,1.9319525685817212,-0.5629999999999882,-0.020000000000095497,17,equilibrium,False,False,3.33,1320.397317595855,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.492479426200447,300.0,1,False,0.0005,0.0,90.0,-5.58,95.58,True,0.000335693359375,0.4,0,
10,warm,400,4.83,8.280887711162637e-05,3.33,-45.0,-45.0,constant,153.52,137.588,177.455,77.67413721711712,78.20309191944487,0.5289547023277521,-0.06499999999999773,-0.020000000000095497,36,equilibrium,False,False,3.33,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,1.5291527351265213,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00034332275390625,1.1,0,
