case,init,instellation,ps_bar,fco2,d0,cloudir,cloudir_ref,cloud_scaling,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,dT_rate10,n_years,state,diffadj,rot_scaling,D,dt,moistdiff,rhmoist,beta,t_hot,dt_passes,dt_capped,fluxcnvg,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
1,warm,500,0.7,0.0005711022272986866,3.33,-45.0,-45.0,constant,174.015,154.823,202.918,99.23869647740216,99.88422073188408,0.6455242544819271,-0.04800000000000182,-0.010000000000047748,30,equilibrium,False,False,3.33,1320.397317595855,True,0.8,4.492479426200447,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00014495849609375,0.6,0,
2,warm,1900,7.85,5.0952817690818304e-05,3.33,-45.0,-45.0,constant,728.683,662.611,925.256,338.31,465.7910159739257,127.48101597392571,403.584,402.64999999999986,11,"runaway (beyond table, T > 620 K)",False,False,3.33,479.88858238511006,True,0.8,12.360906263340365,420.0,4,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0001220703125,4.2,0,
3,warm,2400,0.21,0.0019011406844106464,3.33,-45.0,-45.0,constant,39254.554,nan,nan,342.66415472759155,588.7506265523554,246.0864718247638,784.0669999999955,784.0299999999843,494,"runaway (beyond table, T > 620 K)",False,False,3.33,966.8204002983074,True,0.8,6.135428857189393,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00048828125,41.4,0,
4,warm,1200,2.34,0.00017091095539224066,3.33,-45.0,-45.0,constant,294.376,257.895,328.735,287.4701015303783,289.6449998220498,2.174898291671468,-0.11400000000003274,-0.010000000000331966,19,equilibrium,False,False,3.33,1195.6230127290391,True,0.8,4.961311149548739,329.735,2,False,0.0005,0.0,90.0,-54.553,144.553,True,0.000152587890625,0.9,0,
5,warm,1500,0.16,0.0024937655860349127,3.33,-45.0,-45.0,constant,3538.329,3462.121,3672.083,337.3340177751639,367.97199182968643,30.637974054522545,90.89600000000019,90.86999999999989,342,"runaway (beyond table, T > 620 K)",False,False,3.33,1167.45439026299,True,0.8,5.081018867360958,420.0,4,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0003662109375,31.7,0,
6,warm,2100,1.83,0.00021853146853146853,3.33,-45.0,-45.0,constant,10612.649,nan,nan,339.8859003210848,515.0727567128537,175.18685639176886,555.9269999999997,555.8600000000115,185,"runaway (beyond table, T > 620 K)",False,False,3.33,344.32481190330446,True,0.8,17.22750606010774,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0003662109375,22.0,0,
7,warm,1600,0.55,0.0007267441860465116,3.33,-45.0,-45.0,constant,6479.187,6403.665,6627.615,342.00986870849925,392.48359969294813,50.47373098444888,154.6189999999997,154.5600000000013,384,"runaway (beyond table, T > 620 K)",False,False,3.33,522.1082518163356,True,0.8,11.361356123128871,420.0,4,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00042724609375,73.1,0,
8,warm,800,6.16,6.49308486461918e-05,3.33,-45.0,-45.0,constant,220.046,189.422,267.97,164.52210661149266,165.75825539808622,1.23614878659356,-0.051000000000016144,-0.010000000000047748,32,equilibrium,False,False,3.33,1350.0,True,0.8,1.4155871657750247,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0001068115234375,0.6,0,
9,warm,1100,0.7,0.0005711022272986866,3.33,-45.0,-45.0,constant,268.967,234.75,301.356,263.68519452464227,265.6369594895369,1.9517649648946076,-0.36400000000003274,-0.019999999999527063,18,equilibrium,False,False,3.33,1208.9510788208302,True,0.8,4.906615236652394,302.356,2,False,0.0005,0.0,90.0,-8.938,98.938,True,0.000213623046875,0.8,0,
10,warm,400,4.83,8.280887711162637e-05,3.33,-45.0,-45.0,constant,153.518,137.586,177.453,77.67254775492228,78.20309191944487,0.5305441645225955,-0.028999999999996362,-0.010000000000047748,39,equilibrium,False,False,3.33,1350.0,True,0.8,1.5291527351265213,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00016021728515625,0.7,0,
