case,init,instellation,ps_bar,fco2,d0,cloudir,cloudir_ref,cloud_scaling,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,dT_rate10,n_years,state,diffadj,rot_scaling,D,dt,table,rh_table,moistdiff,rhmoist,beta,t_hot,dt_passes,dt_capped,fluxcnvg,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
1,warm,500,0.7,0.0005711022272986866,2.24,-45.09,-45.09,constant,171.569,139.029,221.345,99.72691687611247,100.32067843504656,0.5937615589340908,-0.04400000000001114,-0.010000000000047748,32,equilibrium,True,False,1.7266779811690585,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.492479426200447,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0001678466796875,0.8,0,
2,warm,1900,7.85,5.0952817690818304e-05,2.24,-45.09,-45.09,constant,679.207,695.873,741.572,353.663,465.7147606645925,112.0517606645925,354.986,352.3000000000002,11,"runaway (beyond table, T > 620 K)",True,False,19.36643091474648,82.51540959597283,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,12.360906263340365,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0,5.7,0,
3,warm,2400,0.21,0.0019011406844106464,2.24,-45.09,-45.09,constant,47496.634,nan,nan,360.44430739355624,588.701620988059,228.2573135945027,726.015999999996,725.9700000000157,644,"runaway (beyond table, T > 620 K)",True,False,0.5178012792407601,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.135428857189393,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00048828125,23.6,0,
4,warm,1200,2.34,0.00017091095539224066,2.24,-45.09,-45.09,constant,286.191,262.037,312.998,285.1231368721835,287.2262686531628,2.103131780979254,-0.2400000000000091,-0.020000000000095497,19,equilibrium,True,False,5.772718893818083,1105.679775891422,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,3.09474726692183,313.998,2,False,0.0005,0.0,90.0,-67.269,157.269,True,0.000213623046875,1.2,0,
5,warm,1500,0.16,0.0024937655860349127,2.24,-45.09,-45.09,constant,2205.918,1491.032,3261.819,351.9909639939025,367.94043541425043,15.949471420347948,43.240999999999985,43.20000000000164,390,"runaway (beyond table, T > 620 K)",True,False,0.3944470320523876,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.081018867360958,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0003662109375,14.0,0,
6,warm,2100,1.83,0.00021853146853146853,2.24,-45.09,-45.09,constant,9429.34,9391.747,9608.525,355.60930590087247,515.0211428571355,159.41183695626302,504.78499999999985,504.7099999999955,180,"runaway (beyond table, T > 620 K)",True,False,4.514498766482724,253.9820438430043,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,17.22750606010774,420.0,3,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00048828125,35.0,0,
7,warm,1600,0.55,0.0007267441860465116,2.24,-45.09,-45.09,constant,7534.255,7321.226,7870.86,358.06917912884535,392.45258187952135,34.383402750676,102.47900000000027,102.43999999999687,659,"runaway (beyond table, T > 620 K)",True,False,1.3566133989533862,1281.5887561553839,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,11.361356123128871,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000457763671875,25.9,0,
8,warm,800,6.16,6.49308486461918e-05,2.24,-45.09,-45.09,constant,216.517,208.854,227.927,157.35866588926953,158.50142556828303,1.1427596790134942,-0.06900000000001683,-0.010000000000047748,27,equilibrium,True,False,15.197034642787633,918.2046626535883,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,1.4155871657750247,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.000152587890625,0.7,0,
9,warm,1100,0.7,0.0005711022272986866,2.24,-45.09,-45.09,constant,269.262,213.79,314.949,264.73337222234676,266.76791120703746,2.0345389846906983,-0.3190000000000168,-0.020000000000095497,18,equilibrium,True,False,1.7266779811690585,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,8.000236075033316,315.949,2,False,0.0005,0.0,90.0,-8.622,98.622,True,0.000274658203125,0.7,0,
10,warm,400,4.83,8.280887711162637e-05,2.24,-45.09,-45.09,constant,154.664,149.777,161.908,77.64279812519204,78.20309191944487,0.5602937942528285,-0.045000000000015916,-0.010000000000047748,37,equilibrium,True,False,11.915793797538402,1084.0794670293876,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,1.5291527351265213,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.00046539306640625,0.8,0,
11,warm,900,0.1,0.00398406374501992,2.24,-45.09,-45.09,constant,205.406,91.682,314.477,196.2969673523808,217.94764088060577,21.650673528224985,-7.996999999999986,-0.010000000000047748,20,runaway,True,False,0.24642281695572418,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,27.484055286328438,315.477,2,False,0.0005,0.3888888888888889,0.0,0.0,0.0,True,6.103515625e-05,0.7,0,
12,warm,1500,2.98,0.00013421017313112335,2.24,-45.09,-45.09,constant,614.024,599.819,648.282,352.5510788520699,367.82838804963006,15.277309197560157,40.827,40.960000000000036,72,runaway,True,False,7.351661824957125,157.293441143143,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,17.08200437299764,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000274658203125,13.2,0,
13,warm,1600,0.16,0.0024937655860349127,2.24,-45.09,-45.09,constant,5656.235,4900.208,6790.154,353.6474830770889,392.4698526979036,38.8223696208147,116.78299999999945,116.73999999999978,439,"runaway (beyond table, T > 620 K)",True,False,0.3944470320523876,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.081018867360958,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00048828125,15.3,0,
14,warm,900,1.44,0.00027770063871146905,2.24,-45.09,-45.09,constant,239.398,205.978,285.256,203.97574359550785,205.473982078943,1.4982384834351592,-0.033999999999991815,-0.010000000000047748,28,equilibrium,True,False,3.5523304597122594,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,2.743463031548327,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,4.57763671875e-05,0.5,0,
15,warm,600,0.43,0.000929368029739777,2.24,-45.09,-45.09,constant,183.813,131.979,260.833,122.26051638255235,122.90728116720491,0.6467647846525608,-0.03700000000000614,-0.010000000000047748,32,equilibrium,True,False,1.0605618219774895,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.506455368098825,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0001068115234375,0.5,0,
16,warm,1400,10.0,3.999840006399744e-05,2.24,-45.09,-45.09,constant,373.22,371.139,376.19,331.984653465509,334.4207842839709,2.4361308184618906,0.16800000000000637,0.06999999999948159,42,equilibrium,True,False,24.670692451936546,73.87280838720443,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,10.838495826851906,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00042724609375,15.3,0,
