case,init,instellation,ps_bar,fco2,d0,cloudir,cloudir_ref,cloud_scaling,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,dT_rate10,n_years,state,diffadj,rot_scaling,D,dt,table,rh_table,moistdiff,rhmoist,beta,t_hot,dt_passes,dt_capped,fluxcnvg,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
1,warm,500,0.7,0.0005711022272986866,2.0587716337661153,-45.09,-45.09,constant,172.417,144.019,215.722,99.56166603908568,100.1738904857801,0.6122244466944267,-0.054000000000002046,-0.010000000000047748,31,equilibrium,False,False,2.0587716337661153,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.492479426200447,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0001678466796875,0.8,0,
2,warm,1900,7.85,5.0952817690818304e-05,6.89256705734518,-45.09,-45.09,constant,713.173,696.253,824.646,353.663,465.7147606645925,112.0517606645925,347.585,352.53999999999905,12,"runaway (beyond table, T > 620 K)",False,False,6.89256705734518,231.84815846505984,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,12.360906263340365,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0,3.7,0,
3,warm,2400,0.21,0.0019011406844106464,1.128386742212084,-45.09,-45.09,constant,47492.346,nan,nan,360.44434684030233,588.701620988059,228.25727414775662,726.015999999996,725.9700000000157,644,"runaway (beyond table, T > 620 K)",False,False,1.128386742212084,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.135428857189393,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000396728515625,24.5,0,
4,warm,1200,2.34,0.00017091095539224066,3.7633980177493846,-45.09,-45.09,constant,288.783,254.213,323.257,286.2650061822985,288.4192939386337,2.1542877563351794,-0.057999999999992724,0.0,21,equilibrium,False,False,3.7633980177493846,1245.9074389889886,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,4.212782455009831,324.257,2,False,0.0005,0.0,90.0,-42.712,132.712,True,3.0517578125e-05,1.3,0,
5,warm,1500,0.16,0.0024937655860349127,0.9852292322094387,-45.09,-45.09,constant,2274.379,1990.518,2699.891,352.08421252596054,367.94043541425043,15.856222888289892,42.93299999999999,42.899999999999636,415,"runaway (beyond table, T > 620 K)",False,False,0.9852292322094387,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.081018867360958,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00030517578125,15.1,0,
6,warm,2100,1.83,0.00021853146853146853,3.328189994576632,-45.09,-45.09,constant,10133.973,nan,nan,355.6999749045064,515.0211428571355,159.32116795262908,504.4220000000005,504.3500000000131,194,"runaway (beyond table, T > 620 K)",False,False,3.328189994576632,344.5120697755896,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,17.22750606010774,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.0003662109375,21.3,0,
7,warm,1600,0.55,0.0007267441860465116,1.8250481199135546,-45.09,-45.09,constant,7755.616,7599.857,8008.431,358.14791647452586,392.45258187952135,34.30466540499549,102.18299999999999,102.13999999999942,681,"runaway (beyond table, T > 620 K)",False,False,1.8250481199135546,952.6436369418848,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,11.361356123128871,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.00048828125,30.8,0,
8,warm,800,6.16,6.49308486461918e-05,6.105757663058697,-45.09,-45.09,constant,216.787,198.862,243.867,158.95250439391737,160.08090882705304,1.128404433135671,-0.09499999999999886,-0.010000000000047748,27,equilibrium,False,False,6.105757663058697,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,1.4155871657750247,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.000396728515625,0.5,0,
9,warm,1100,0.7,0.0005711022272986866,2.0587716337661153,-45.09,-45.09,constant,268.533,219.229,310.831,264.30806331242565,266.31196927244775,2.0039059600221094,-0.31399999999996453,-0.010000000000331966,18,equilibrium,False,False,2.0587716337661153,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.934838428024118,311.831,2,False,0.0005,0.0,90.0,-7.76,97.76,True,0.000244140625,0.7,0,
10,warm,400,4.83,8.280887711162637e-05,5.406630063172439,-45.09,-45.09,constant,154.225,143.926,169.605,77.65538696528378,78.20309191944487,0.547704954161091,-0.03499999999999659,-0.010000000000047748,38,equilibrium,False,False,5.406630063172439,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,1.5291527351265213,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,8.392333984375e-05,0.6,0,
11,warm,900,0.1,0.00398406374501992,0.7794745922735391,-45.09,-45.09,constant,232.906,159.374,289.785,212.57797577702573,214.1819376439053,1.6039618668795583,-0.09399999999999409,-0.009999999999763531,23,equilibrium,False,False,0.7794745922735391,1308.3141127715392,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,19.369614356270382,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0001983642578125,0.5,0,
12,warm,1500,2.98,0.00013421017313112335,4.246903417785716,-45.09,-45.09,constant,411.16,410.993,420.624,353.7109770287816,367.91545532621467,14.20447829743307,37.37800000000004,37.28999999999985,20,runaway,False,False,4.246903417785716,272.2850210639123,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,17.08200437299764,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000335693359375,3.2,0,
13,warm,1600,0.16,0.0024937655860349127,0.9852292322094387,-45.09,-45.09,constant,6278.716,5982.884,6739.726,353.8341715327219,392.4698526979036,38.63568116518172,116.17000000000007,116.13000000000284,494,"runaway (beyond table, T > 620 K)",False,False,0.9852292322094387,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,5.081018867360958,420.0,2,True,0.0005,0.0,90.0,-90.0,180.0,True,0.000335693359375,17.9,0,
14,warm,900,1.44,0.00027770063871146905,2.9524099715317313,-45.09,-45.09,constant,240.09,201.508,291.256,205.89320117817553,207.38387715421976,1.4906759760442299,-0.03700000000000614,0.0,27,equilibrium,False,False,2.9524099715317313,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,2.743463031548327,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,6.103515625e-05,0.5,0,
15,warm,600,0.43,0.000929368029739777,1.6138799955387018,-45.09,-45.09,constant,186.877,147.921,246.409,121.15482536497966,121.85781032188152,0.702984956901858,-0.06699999999997885,-0.009999999999763531,28,equilibrium,False,False,1.6138799955387018,1350.0,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.506455368098825,300.0,1,False,0.0005,0.0,0.0,0.0,0.0,True,0.0001373291015625,0.5,0,
16,warm,1400,10.0,3.999840006399744e-05,7.779358626519285,-45.09,-45.09,constant,374.091,367.482,382.902,332.70772101872683,335.1371535425902,2.4294325238633974,0.05700000000001637,0.020000000000095497,47,equilibrium,False,False,7.779358626519285,405.3952252602844,./radiation/radiation_N2_CO2_3000K_p_rh0.8.h5,0.8,True,0.8,6.26343452230172,383.902,3,False,0.0005,0.0,90.0,-90.0,180.0,True,0.000152587890625,6.7,0,
