config,case,init,instellation,ps_bar,d0,cloudir,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,n_years,state,diffadj,rot_scaling,D,dt,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
constant_c-30,1,warm,500,0.7,3.33,-30.0,185.935,167.233,214.501,99.53607803078546,100.19214589590021,0.6560678651147498,-0.043000000000006366,28,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0001220703125,0.4,0,
constant_c-30,2,warm,1900,7.85,3.33,-30.0,63575.556,nan,nan,349.72563489080085,465.78998558219905,116.0643506913982,365.3489999999947,1647,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,24.2,0,
constant_c-30,3,warm,2400,0.21,3.33,-30.0,25550.978,nan,nan,325.2084877593328,588.7508689562319,263.5423811968991,840.3250000000007,300,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.0003662109375,4.5,0,
constant_c-30,4,warm,1200,2.34,3.33,-30.0,330.88,269.851,424.832,291.79295016087866,293.9988981632712,2.2059480023925175,0.08800000000002228,36,equilibrium,False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000274658203125,0.6,0,
constant_c-30,5,warm,1500,0.16,3.33,-30.0,2359.62,2288.127,2498.091,322.75634164424787,367.9721970352606,45.215855391012724,138.0619999999999,147,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.0003662109375,2.1,0,
constant_c-30,6,warm,2100,1.83,3.33,-30.0,47428.845,nan,nan,334.05334309917487,515.0727491167302,181.0194060175553,574.6640000000043,808,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000396728515625,11.7,0,
constant_c-30,7,warm,1600,0.55,3.33,-30.0,7161.664,7091.714,7315.67,324.78778961839237,392.4837140326206,67.69592441422822,210.33100000000013,321,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000457763671875,4.7,0,
constant_c-30,8,warm,800,6.16,3.33,-30.0,241.535,208.156,294.389,178.2202923886973,179.5211216667449,1.3008292780476154,-0.060000000000002274,29,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.000274658203125,0.4,0,
constant_c-30,9,warm,1100,0.7,3.33,-30.0,289.244,238.519,370.476,267.9382830857873,269.9747905436427,2.036507457855407,-0.10499999999996135,21,equilibrium,False,False,3.33,1350.0,0.0,90.0,-17.209,107.209,True,0.000244140625,0.3,0,
constant_c-30,10,warm,400,4.83,3.33,-30.0,169.48,154.12,192.746,78.17175876625973,78.69577066109548,0.524011894835752,-0.03499999999999659,32,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00019073486328125,0.4,0,
